,Date,Contributor,Zip,Amount,Recipient,Record Type Description,Source Description
76,7/1/2003,Greater Boston Real Estate Board,2108,$100.00 ,"Callahan, Jennifer",Committee,2003 Year-end Report (ND)
77,7/2/2003,Greater Boston Real Estate Board PAC,2108,$250.00 ,"Murphy, Stephen",Committee,7/2/03 Deposit Report
78,9/17/2003,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Petruccelli, Anthony W.",Committee,2003 Year-end Report (ND)
79,9/18/2003,Greater Boston Real Estate,2108,$200.00 ,"O'Flaherty, Eugene L.",Committee,2003 Year-end Report (ND)
80,9/23/2003,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Resor, Pamela P.",Committee,2003 Year-end Report (ND)
81,10/8/2003,Greater Boston Real Estate Board,2108,$125.00 ,"Magnani, David  P.",Committee,2003 Year-end Report (ND)
82,10/8/2003,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Torrisi, David  M.",Committee,2003 Year-end Report (ND)
83,10/29/2003,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Scaccia, Angelo M.",Committee,2003 Year-end Report (ND)
84,11/18/2003,Greater Boston Real Estate Board Pac,20108,$100.00 ,"Rush, Michael F.",Committee,2003 Year-end Report (ND)
85,12/8/2003,Greater Boston Real Estate Board PAC,2108,$250.00 ,Committee for a Democratic Senate Pol Action Comm.,Committee,2003 Year-end Report (PAC)
86,12/15/2003,Greater Boston Real Estate Board,2108,$100.00 ,"Tolman, Steven A.",Committee,2003 Year-end Report (ND)
87,12/29/2003,Greater Boston Real Estate Board,2108,$100.00 ,"Reinstein, Kathi-Anne",Committee,2003 Year-end Report (ND)
88,3/4/2004,Greater Boston Real Estate Board PAC,1960,$100.00 ,"Rosenberg, Stanley C.",Committee,2004 Pre-primary Report (ND)
89,3/31/2004,Greater Boston Real Estate Board,2108,$100.00 ,"Casey, Paul C.",Committee,2004 Pre-primary Report (ND)
90,3/31/2004,Greater Boston Real Estate Boiard Politi,2108,$125.00 ,"DeLeo, Robert A.",Committee,2004 Pre-primary Report (ND)
91,4/6/2004,Greater Boston Real Estate Board,2108,$100.00 ,"Travaglini, Robert E.",Committee,2004 Pre-primary Report (ND)
92,4/7/2004,Greater Boston Real Estate Board,2108,$100.00 ,"Creedon Jr., Robert S.",Committee,2004 Pre-primary Report (ND)
93,4/13/2004,Greater Boston Real Estate Board,2108,$100.00 ,"Antonioni, Robert A.",Union/Association,2004 Pre-primary Report (ND)
94,4/14/2004,Greater Boston Real Estate Board PAC,2108,$125.00 ,"Berry, Frederick E.",Committee,2004 Pre-primary Report (ND)
95,4/15/2004,GREATER BOSTON REAL ESTATE BOARD PAC,2108,$100.00 ,"Chandler, Harriette L.",Committee,2004 Pre-primary Report (ND)
96,5/13/2004,Greater Boston Real Estate Board,2108,$250.00 ,"Walrath, Patricia A.",Committee,2004 Pre-primary Report (ND)
97,9/30/2004,GREATER BOSTON REAL ESTATE BOARD PAC,2108,$100.00 ,"Augustus, Edward M.",Committee,2004 Pre-election Report (ND)
98,10/24/2004,Greater Boston Real Estate Board PAC,2108,$500.00 ,Committee for a Democratic Senate Pol Action Comm.,Committee,2004 Year-end Report (PAC)
99,10/27/2004,GREATER BOSTON REAL ESTATE BOARD PAC,2108,$500.00 ,"Democratic State Committee, MA",Committee,10/27/04 Deposit Report
100,11/29/2004,"Greater Boston Real Estate Board, PAC",2108,$200.00 ,"Barrios, Jarrett T.",Individual,2004 Year-end Report (ND)
